"","rowname","Estimate.x","Std. Error.x","t value.x","Pr(>|t|).x","model.x","Estimate.y","Std. Error.y","t value.y","Pr(>|t|).y","model.y","Estimate","Std. Error","t value","Pr(>|t|)","model"
"11","as.factor(year)2019",0.662257470147299,0.0493705581063021,13.4140162791225,0.0000000000000000000000000000000000000084554391862441,"poor.fair.state.year",0.65999667284864,0.055496431602382,11.8925965830984,0.000000000000000000000000000000333656108665619,"poor.fair.arrest.demo",0.809676230695095,0.0727393571377196,11.1311986049328,0.00000000000000000000000000110601021097974,"poor.fair.structural"
"12","statearkansas",0.0115571454601741,0.370200910974305,0.031218576501494,0.975099443041145,"poor.fair.state.year",0.0288840696377311,0.371249558542767,0.0778023002939242,0.93799592653832,"poor.fair.arrest.demo",0.0539561461466867,0.35980922000756,0.149957652962737,0.880818709614081,"poor.fair.structural"
"13","statecalifornia",-0.880988862371913,0.49622991117153,-1.77536428687263,0.0760436405515908,"poor.fair.state.year",-0.920141655708522,0.499471449056894,-1.84223073700397,0.0656431150365984,"poor.fair.arrest.demo",-0.510647652734449,0.487493075118931,-1.04749724416058,0.295043441393057,"poor.fair.structural"
"14","statecolorado",-1.31623426440094,0.359794847950761,-3.65829102861715,0.000262825692494702,"poor.fair.state.year",-1.31395764895287,0.362649508794275,-3.62321640341239,0.000300888156813953,"poor.fair.arrest.demo",-0.930289769104753,0.35391300197455,-2.62858319393321,0.00866396303087071,"poor.fair.structural"
"15","stategeorgia",-0.83052847288011,0.414552939682751,-2.0034316329193,0.0453133707539763,"poor.fair.state.year",-0.796341453497397,0.410574053596418,-1.93958056170831,0.0526221737395587,"poor.fair.arrest.demo",-0.622542649506694,0.39933203917845,-1.5589599341627,0.119222291261907,"poor.fair.structural"
"16","stateidaho",-0.909118561604916,0.357108080073788,-2.5457798698284,0.0110042583856421,"poor.fair.state.year",-0.860614255500191,0.36118999146676,-2.38271900061603,0.0173120263593704,"poor.fair.arrest.demo",-0.556622873113551,0.351182440837224,-1.58499631071119,0.113183433732048,"poor.fair.structural"
"17","stateindiana",-0.79643514487288,0.355998378432465,-2.23718756354944,0.0254227607441526,"poor.fair.state.year",-0.79095586674944,0.356993377046766,-2.21560375515265,0.0268716985374876,"poor.fair.arrest.demo",-0.618183765560836,0.347540084284405,-1.77874090936501,0.0754899933314336,"poor.fair.structural"
"18","stateiowa",-1.6672015730059,0.354306919521394,-4.70552924921138,0.00000276909855531332,"poor.fair.state.year",-1.66358163006186,0.35600313143992,-4.67294100288726,0.00000324140798576055,"poor.fair.arrest.demo",-1.29404816789987,0.347841936017278,-3.72021896702988,0.000206584592623774,"poor.fair.structural"
"19","statekansas",-1.61614838870192,0.353736855972754,-4.56878711226629,0.00000531389186134148,"poor.fair.state.year",-1.61258696340929,0.355347466460546,-4.53805673492352,0.00000614086088150537,"poor.fair.arrest.demo",-1.18895927979681,0.347172887360262,-3.42468932075052,0.000632533074807607,"poor.fair.structural"
"20","statekentucky",-0.227602527404333,0.375180885178977,-0.606647450324548,0.544178134812078,"poor.fair.state.year",-0.224471006883756,0.372448261456895,-0.60269044082982,0.546807793251528,"poor.fair.arrest.demo",-0.351414758835565,0.36088889585083,-0.973747773555269,0.330342870003634,"poor.fair.structural"
"21","statelouisiana",-0.462155255115592,0.609521907998954,-0.758225830852966,0.448436763495802,"poor.fair.state.year",-0.451851060243636,0.603938939757929,-0.74817341704237,0.454475485565164,"poor.fair.arrest.demo",-0.387006207208961,0.585295159016569,-0.661215458981791,0.508578333095563,"poor.fair.structural"
